news_no,title,date,keyword,url,site
17,혼선 가중된 '주 69시간 근무제'???“현실 가능성 낮다” 우려 목소리 ...,3월 23일,69시간근무제,./articles/CBMiPWh0dHBzOi8vd3d3LnN0YXJ0dXB0b2RheS5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDY1NzXSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
18,우리는 남들보다 얼마나 더 일하고 있을까?,5일 전,69시간근무제,./articles/CBMiLmh0dHBzOi8vd3d3LmpvYnBsYW5ldC5jby5rci9jb250ZW50cy9uZXdzLTQ0NTHSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
19,“주 69시간과 주 129시간 비교하라” 주장 맞나 < 노동시간 제도 개편 ...,3월 24일,69시간근무제,./articles/CBMiP2h0dHBzOi8vd3d3LmxhYm9ydG9kYXkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIxNDE1MNIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
20,이준석 “주69시간엔 자본가의 생각 반영”…'장외 정치' 시동,3월 19일,69시간근무제,./articles/CBMiQmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9wb2xpdGljcy9wb2xpdGljc19nZW5lcmFsLzEwODQyMjMuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
21,[기고] ‘Kwarosa 사회’와 주 4.5일제,2일 전,69시간근무제,./articles/CBMiLGh0dHBzOi8vbS5raGFuLmNvLmtyL2FydGljbGUvMjAyMzA0MDMwMzAwMTA10gFFaHR0cHM6Ly9tLmtoYW4uY28ua3Ivb3Bpbmlvbi9jb250cmlidXRpb24vYXJ0aWNsZS8yMDIzMDQwMzAzMDAxMDUvYW1w?hl=ko&gl=KR&ceid=KR%3Ako,구글
22,"이재명 “주69시간제, 허무맹랑한 탁상공론…노동개악 막아야”",3일 전,69시간근무제,./articles/CBMiPmh0dHBzOi8vd3d3LnNpc2Fqb3VybmFsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MjYwMjU10gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
23,“장기휴가 쓰면 업무는 조상님이 담당하냐?”… '상상 그 이상' 69시간제,3월 24일,69시간근무제,./articles/CBMiPGh0dHA6Ly93d3cubWlucGx1c25ld3MuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMzUxN9IBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
24,[손병채의 센스메이킹]〈9〉69시간 근무제와 줌(Zoom)의 기회,3월 27일,69시간근무제,./articles/CBMiJWh0dHBzOi8vd3d3LmV0bmV3cy5jb20vMjAyMzAzMjcwMDAyMDbSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
25,"[현장] MZ세대도 등돌린 주 69시간 근무제…""폐지 촉구""",3월 16일,69시간근무제,./articles/CBMiPGh0dHA6Ly93d3cuc2lzYXByaW1lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xODI4N9IBP2h0dHA6Ly93d3cuc2lzYXByaW1lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0xODI4Nw?hl=ko&gl=KR&ceid=KR%3Ako,구글
26,"주69시간제, 청년이 원한다? 청년 50만명 '그냥 쉬었다'",3월 22일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3LnByZXNzaWFuLmNvbS9wYWdlcy9hcnRpY2xlcy8yMDIzMDMyMjEwMzc1NjYyODcz0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
27,'주 69시간' 앞두고 … 62시간 연속 근무하다 사망한 40대 경비노동자,3월 13일,69시간근무제,./articles/CBMiOGh0dHBzOi8vbS5oYW5rb29raWxiby5jb20vTmV3cy9SZWFkL0EyMDIzMDMxMzE1NTcwMDAxMjY30gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
28,"포스코퓨처엠, 그룹 내 최초로 '탄력근무제' 실시",8시간 전,69시간근무제,./articles/CBMiPmh0dHA6Ly93d3cud2lraWxlYWtzLWtyLm9yZy9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTM2OTg40gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
29,"김인아 교수, 일주일 최대 노동시간에 대해 코멘트",2일 전,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3Lm5ld3NoeXUuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMDA5Mzg20gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
